,y
0,5.097238020455306
1,7.008591777754438
2,5.937954905198561
3,4.339988411036302
4,3.9164698474030297
5,4.503516027890572
6,5.2670663917209355
7,3.5583099460358505
8,7.912311586605039
9,5.926962829964724
10,5.998671317036947
11,5.81478930598935
12,6.862528737203043
13,6.129015810794514
14,3.8025762757574375
15,4.759164743566136
16,4.76030408281923
17,4.518947391211796
18,3.4770504142120595
19,7.149002253254807
20,5.839909660063718
21,5.561515813265178
22,5.309653725806375
23,7.083582050857585
24,5.942109413461665
25,4.017524165918809
26,5.025134311773018
27,4.7551900084830265
28,4.191355827840075
29,3.863109416742281
30,7.700317019677259
31,6.231406045811365
32,5.801969321243147
33,5.306538924387507
34,7.535728903217541
35,5.520161881215229
36,4.357083110783013
37,5.203888644326596
38,4.559636637675393
39,4.1161907273028575
40,3.6306317904285312
41,7.180276674718195
42,5.333226360980485
43,5.998814402783259
44,5.340066436317793
45,7.621254803921538
46,5.5228342651317694
47,4.275673791256646
48,5.075484442816762
49,4.76881032639628
50,4.447310023382555
51,4.6664432418670785
52,6.81861723995886
53,5.204289686869926
54,5.382146630979197
55,5.095980605622654
56,7.920804036507766
57,5.667351786475284
58,3.849811157826152
59,5.445084175826218
60,5.297609290694545
61,5.060598140790053
62,4.893578561204689
63,7.250919305053076
64,5.860975560230043
65,5.167991990237799
66,6.460187853504168
67,3.9081304329553856
68,3.35558077542199
69,3.1918719306299277
70,4.441719155968447
71,3.3416278933166854
72,5.706084395084823
73,6.088738970365922
74,6.25074926331026
75,7.029240071024221
76,4.831826150066238
77,5.86804786731849
78,4.641482902371419
79,3.3592506408567067
80,3.231468144030982
81,4.934514936140063
82,3.427841281705833
83,5.37920652567393
84,6.338848267102628
85,6.3236462136869145
86,7.794857493918612
87,4.83281515269153
88,5.772583662546306
89,5.25547338330586
90,3.876871347758036
91,3.2623854269101136
92,5.045310237127885
93,3.3993661046857335
94,5.457204408324058
95,6.590976558978999
96,6.030184813136504
97,8.055601845430811
98,5.447216403595099
99,4.926875483683335
100,5.466866395605293
101,3.808547421551708
102,3.319958141612152
103,5.380341574665782
104,3.3827524295747553
105,5.31310525477358
106,6.239608976029425
107,6.193795355416206
108,7.115141109086442
109,6.16665528663003
110,4.058724967113748
111,5.763823672286498
112,3.494474349326407
113,3.385691917137982
114,5.9951823760466905
115,3.505639390915669
116,5.160251380753117
117,6.541323711312042
118,6.788314272467708
119,7.266946421018538
120,5.6503677648086095
121,4.5197007528351785
122,6.251699200424369
123,3.2968144872813445
124,3.4333763757928226
125,5.403175428369438
126,3.742459698558212
127,5.38151790112703
128,6.896701809866111
129,7.918734130075983
130,8.10141431266618
131,4.559125202751004
132,7.557920789022612
133,6.843178088247138
134,5.5496710220112755
135,3.864797260804437
136,2.925162453145734
137,2.6569373224635315
138,2.8152146119203287
139,5.290785080905208
140,2.50553307351505
141,5.09688635642111
142,4.8942380511716115
143,7.904046341873179
144,6.831129325570096
145,5.245458169923193
146,3.6729874654675605
147,2.6108054380192445
148,3.0865224490167327
149,2.3782109538129097
150,5.381985122167903
151,1.6028597934857935
152,4.609423276690915
153,3.7348393447793065
154,8.194089897006073
155,6.461140869874766
156,4.730825585760255
157,3.3591464277100336
158,2.38520639132393
159,2.8517241661298627
160,1.3810588762304943
161,5.252452377880136
162,1.5167611662568907
163,4.370002108888515
164,3.367126046280267
165,7.92269267047941
166,6.437610772054131
167,4.480162381734981
168,3.160243482054433
169,2.0807195218931773
170,2.4400713467683044
171,1.2541878590429532
172,4.617999555818163
173,2.993821280125923
174,4.184970784983162
175,4.176763734738677
176,8.18764316004874
177,6.812814627439726
178,5.011363281086274
179,3.0064975024535405
180,1.776746861076628
181,2.516454152664328
182,1.7969279226700925
183,4.10005343664705
184,3.8732639297698235
185,3.9117833887470335
186,4.74614937644289
